Category,code,Title_en,Description_en,Source
,TOOLS_DEVICES_FILE_FORMATS_UNAVAILABLE,,Tools  devices or file formats not generally available,EU code not found - constructed from description
,IPR_ISSUES,,Intellectual property right issues,EU code not found - constructed from description
,REQUIRES_SPECIALISED_EQUIPMENT,,Buyer would need specialised office equipment,EU code not found - constructed from description
,PHYSICAL_MODEL,,Submission of a physical model,EU code not found - constructed from description
,SENSITIVE_INFORMATION,,Protection of particularly sensitive information,EU code not found - constructed from description
