Category,Code,Title_en,Description_en,Source
,DIRECTIVE_2014_23_EU,Directive 2014/23/EU,,EU code not found - constructed from description
,DIRECTIVE_2014_24_EU,Directive 2014/24/EU,,EU code not found - constructed from description
,DIRECTIVE_2014_25_EU,Directive 2014/25/EU,,EU code not found - constructed from description
,DIRECTIVE_2009_81_EC,Directive 2009/81/EC,,EU code not found - constructed from description
,REGULATION_966_2012,Regulation 966/2012,,EU code not found - constructed from description
,NATIONAL_PROCUREMENT_LAW,National procurement law,,EU code not found - constructed from description
,NULL,null,,EU code not found - constructed from description
