Category,Code,Title_en,Description_en,Source
,environmental,,"Technical specifications, award criteria, or contract performance conditions include requirements aimed at reducing the environmental impact of the procurement",EU code not found - constructed from description 
,social,,"Technical specifications, award criteria, or contract performance conditions include requirements
aimed at fulfilling social objectives.",EU code not found - constructed from description 
,innovative,,"Technical specifications, award criteria, or contract performance conditions include requirements
aimed at buying an innovative work good or service",EU code not found - constructed from description 
