Category,Code,Title,Description,Source
,tender,Tender,An open competitive bidding or tendering to form contracts. The process generally involves publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,ﾠ
,designContest,Design Contest,Those procedures which enable the contracting authority to acquire - mainly in the fields of town and country planning architecture and engineering or data processing - a plan or design selected by a jury after being put out to competition with or without the award of prizes,
